Id;Label
0;Anna Anåker
1;Marie Elf
2;Susanna Nordin
3;Maria Nilsson
4;Li Na
5;Anna Cristina Åberg
6;Changli He
7;Ylva Cedervall
8;Per Dahl
9;Vilmantas Giedraitis
10;Mikael Berglund
11;Hans Rosendahl
12;Kevin Mckee
13;Anna Ehrenberg
14;Ingrid From
15;Åsa Bergman Bruhn
16;Anders Arnqvist
17;Monika Vinterek
18;Alessandro Aresti
19;Vera Nigrisoli Wärnhjelm
20;Anders Avdic
21;Ulrika Wissa Artursson
22;Mathias Hatakka
23;Leif Åkerblom
24;Wei Song
25;Anders Forsman
26;Åsa Bartholdsson
27;Eva Hultin
28;Johanna Gustafsson-Lundberg
29;Anders Bornhäll
30;Sven-Olov Daunfeldt
31;Oana Mihaescu
32;Niklas Rudholm
33;Daniel Wikström
34;Ann Catrine Eldh
35;Eva Karlsson
36;Anna Fors
37;Lars Wallin
38;Helena Alm
39;Gabor Bora
40;Dongyang Qu
41;Ida Dahlström
42;Kaung Myat Win
43;Henrietta Forsman
44;Ulrika Förberg
45;Kerstin Öhrn
46;Mengjie Han
47;Lena Olai
48;Birgitta Jönsson
49;Malin Tistad
50;Mathias Strandberg
51;Ann Rudman
52;Emma Hawke
53;Pierre Vogel
54;Catharina Gustavsson
55;Alex Dos Santos Pruth
56;Rieko Saito
57;Masako Hayakawa Thor
58;Yoko Mizufune
59;Hiroko Inose
60;Mario Lopez-Cordero
61;Alexandra Eilegård Wallin
62;Malin Lövgren
63;Ann-Sofie Källberg
64;Jan Florin
65;Lena Bergkvist
66;Jonas Edberg
67;Maria Boström
68;Katharina Davidsson
69;Kerstin Göras
70;Ming Fan
71;Pernilla Liedgren
72;Gudrun Elvhage
73;Christian Kullberg
74;Sofia Walter
75;Eva Österlund Efraimsson
76;Åsa Lang
77;Anna Emmoth
78;Jörgen Elbe
79;Amanda Frank
80;Tarja Alatalo
81;Gunilla Carstensen
82;Jessica Wide
83;Gunnel Frid
84;Margareta Persson
85;Christopher Michel Bales
86;camilla udo
87;Lars Rönnegård
88;Hed Kerstin Larsson
89;Memedi Mevludin
90;Yuan-Yuan Wu
91;Håkan Larsson
92;Anneli Fjordevik
93;Maren Eckart (Jönsson)
94;Chatarina Edfeldt
95;Mattias Aronsson
96;Charlotte Lindgren
97;Sören Johansson
98;Åsa Grek
99;Fredrik Hartwig
100;Anton Grenholm
101;Taha Khan
102;Jerker Westin
103;Ann Gustafsson
104;Ann Hedlund
105;Ing-Marie Andersson
106;Ulla Gunnarsson
107;Gunnar Rosén
108;Nina Fällstrand Larsson
109;Karl Gummesson
110;Alexis Rydell
111;Karin Perman
112;Annette Henning
113;Caroline Maria Bastholm
114;Anders Henriksson
115;Helena Bellardini
116;Michail Tonkonogi
117;Anders Hurtig
118;Anna Klerby
119;Tobias Heldt
120;Bo Larsson
121;Anna Karin Fändrik
122;Mats Lundgren
123;Nicola Nerström
124;Anders Lindström
125;Claes Hellqvist
126;Eva Stattin
127;Xiaoyun Zhao
128;Daniel Gräns
129;Elisabeth Wallin
130;Zelal Bal
131;Andre Leblanc
132;Irene Gilsenan Nordin
133;Hu Lung-Lung
134;Herbert Jonsson
135;Albina Pashkevich
136;Susanna Cassel Heldt
137;Mats Lundmark
138;Anders Lagerqvist
139;Johan Ärnlöv
140;Anna Maria Dahlén
141;Peter Norberg
142;Anneli Strömsöe
143;Ann-Marie Mohlin
144;Johnny Wingstedt
145;Anders Mattsson
146;Marco Hernandez Velasco
147;Klaus Lorenz
148;Anna Laine
149;Anna Munters
150;Inger Lindqvist
151;Daniel Olsson
152;André Lisspers
153;Frank Sundh
154;Marie Ericson
155;Marie Olsen
156;Janeth Leksell
157;Maria Moberg
158;Anncarin Svanberg
159;Anders Persson
160;Robert Thorp
161;Åke Persson
162;Roger Melin
163;Árni Sverrisson
164;Ingrid Jonsson Wallin
165;Totte Mattsson
166;Zuzana Macuchova
167;Anneli Södergren
168;Tomas Carlsson
169;Asif Huq
170;Annika Selin Larsson
171;Marie Klingberg Allvin
172;Lena Dahlberg
173;Marika Marusarz
174;Anna Swall
175;Lena Marmstål Hammar
176;Hans Lundh
177;Aili Tang
178;Csilla Gál
179;Xuan Chen
180;Kalfas Panagiotos-Theodoros
181;Tao Yang
182;Yu Wang
183;Anna Teledahl
184;Lovisa Sumpter
185;Eva Taflin
186;Maria Bjerneby Häll
187;Åsa Wedin
188;Bethanne Yoxsimer Paulsrud
189;Jenny Rosén
190;Boglárka Straszer
191;Johan Hedman
192;Sori Rasti
193;Samira Hennius
194;Björn Andersson
195;Mårten Hugosson
196;Billy Gray
197;Katherina Dodou
198;Carmen Zamorano Llena
199;Björn Äng
200;Therese Granström
201;Björn Hammar
202;Björn Larsson
203;Mats Rönnelid
204;Berit Lundgren
205;Barbara Lees
206;Ulf Bexell
207;Gunn Nyberg
208;Jennie Svensson
209;Voicu Brabie
210;Birgitta Nilsson
211;Carl Olsmats
212;Katarina Lindahl
213;Carl-Axel Norman
214;Linda Vixner
215;Martin Andersen
216;Stefano Poppi
217;Christian Kok Nielsen
218;Lars Thorin
219;Tomas Persson
220;Johan Heier
221;Marcus Gustafsson
222;Jonn Are Myhren
223;Håkan Holmberg
224;Josefin Hall
225;Catia Cialani
226;Maria Wallinder
227;Carina Bååth
228;Hans-Edy Mårtensson
229;Christine Eriksson
230;Reza Mortazavi
231;Mario Semiao
232;Christina Engström
233;Peter Möller
234;Maria Thulemark
235;Man Gao
236;Carina Green
237;Carina Gyll
238;Kerstin Erlandsson
239;Md Moudud Alam
240;Erik Falk
241;Lars Linder
242;Satu Sundström
243;Peter Berggren
244;Hugues Engel
245;Erik Leander
246;Magnus Carlsson
247;Majbritt Felleki
248;Daniel Hammarström
249;Mari-Cristin Malm
250;Urban Claesson
251;Kari Jess
252;Maria Svedbo Engström
253;Maria Forsner
254;Mikael Fallqvist
255;Mikael Olsson
256;Mats Anderson
257;Megan Case
258;Jan Wilhelm Lindholm
259;Katharina Jacobsson
260;Lovisa Furingsten
261;Jan Olsson
262;Carin Nordström
263;Inger Nylander
264;Karin Yvell
265;Xiangli Meng
266;Magnus Jobs
267;Yvonne Blomberg
268;Maria Olson
269;Nina Bengtsson
270;Pernilla Nord
271;Lena Pettersson
272;Ulrika Boman
273;Mauro Schiavella
274;Eva Bäck
275;Peter Jansson
276;Jesper Brunnberg
277;Olga Mattsson
278;Wei Hing Rosenkvist
279;Solveig Malmsten
280;Jenny Lönnemyr
281;Maria Neljesjö
282;Sten Sundin
283;Catharina Höög Nyström
284;Sverre Wide
285;Frank Fiedler
286;Jonas Jäder
287;Karin Holmlund
288;Roger Johansson
289;Jill Sirén
290;Christina Pedersen
291;Fatumo Osman
292;Ulrika Byrskog
293;Magdalena Mattebo
294;Jenny Lindkvist
295;Cecilia Strandroth
296;Ingegerd Strömkvist
297;Chuan-Zhong Li
298;Gunnar Isaksson
299;Dick Åhman
300;Daniel Beckman
301;Johan Nordin
302;Daniel Brandt
303;Magnus Bohlin
304;Daniel Fredriksson
305;Johanna Rosenblad
306;Zandra Granath
307;Jens Westergren
308;Doris Hägglund
309;Diala Jomaa
310;Hasan Fleyeh
311;Mark Dougherty
312;Siril Yella
313;Karin Edvardsson
314;Daniel Silander
315;Mats Öhlén
316;Desiree Von Ahlefeld Nisser
317;Gunilla Lindqvist
318;Somayeh Aghanavesi
319;Fredrik Nilsson
320;Lars Krantz
321;Hao Huang
322;Ilias Thomas
323;Johnny Nilsson
324;Elisabeth Eliasson
325;Elisabeth Åsenius Ahnberg
326;Johan Kostela
327;Erik Backman
328;Emil Gustafsson
329;Lars Karlsson
330;Eva Hagström
331;Marcia Markus
332;Eva Hämberg
333;Thomas Sedelius
334;Maria Westman
335;Sara Irisdotter Aldenmyr
336;Elisabeth Jobs
337;Elisabeth Nerpin
338;Marita Andersson
339;Susanne Koistinen
340;Erik Lundberg
341;Eva-Lena Embretsen
342;Jan Svärdhagen
343;Napolion Edgar Asiimwe
344;Sana Zubair Khan
345;Maria Cederblad
346;Eva Randell
347;Reneé Flacking
348;Erik Arén
349;Tammy Blom
350;Erica Schytt
351;Helena Danielsson
352;Ewa Wäckelgård
353;Harald Svedung
354;Erik Westholm
355;Elin Wester
356;Farhana Borg
357;Fredrik Karlsson
358;Fredrik Lindberg
359;Kenneth Carling
360;Pascal Rebreyand
361;Ulla-Karin Schön
362;Fredrik Von Euler
363;Göran Engberg
364;Jessica Gyhlesten Back
365;Mikael Grehk
366;Kerstin Hansson
367;Giulia Messina Dahlberg
368;Olga Viberg
369;Göran Morén
370;Marie Moström Åberg
371;Gunnar Ternhag
372;Gun-Marie Wetso
373;Maria Olsson
374;Jan Simer
375;Kerstin Ahlberg
376;Hans Ersson
377;Martin Johanson
378;Louise Trygg
379;Mattias Gradén
380;Marit Ragnarsson
381;Karl Hansson
382;Sofia Brorsson
383;Helena Grundén
384;Jenny Isberg
385;David Molnár
386;Mariya Aida Niendorf
387;Hans Jernberg
388;Henrik Janols
389;Tina Wik
390;Helena Lindgren
391;Helena Nilsson
392;Helén Olsson
393;Ali Joudi
394;Inger Lundberg Santesson
395;Ibro Ribic
396;Iris Ridder
397;Nadezda Lebedeva
398;Ina Amalia Von Schantz Lundgren
399;Ulf Nytell
400;Jenny Åberg
401;Thomas Olofsson
402;Martin Bergdahl
403;Tobias Rudholm Feldrich
404;Nian Zhou
405;Thomas Kvist
406;Jenny Svärd
407;Michael Lindgren
408;Lars-Erik Lindgren
409;Jenny Fritz
410;Sofia Hansson
411;Jürgen Hartmann
412;Petter Börjesson
413;Johan Håkansson
414;Madelen Lagin
415;Kristofer Sidenvall
416;Joyce Kemuma
417;Mia Österberg
418;Jan-Erik Lagergren
419;Mohammed Tahir
420;Maria Petersson
421;Julie Skogs
422;Johanne Maad
423;Veronica Matsson
424;Lars Wedholm
425;Sven Israelsson
426;Jonas Stier
427;Joacim Svensson
428;Robert Andersson
429;Thomas Florén
430;Kumar Babu Surreddi
431;Ola Nääs
432;Yujiao Li
433;Karin Dahlgren
434;Katarina Grim
435;Steven Saxonberg
436;Lenka Klimplova
437;Rolf Magnusson
438;Kristin Svenson
439;Lovisa Berg
440;Yagiz Azizoglu
441;Liselotte Frisk
442;Sanja Nilsson
443;Peter Åkerbäck
444;Lena Wilhelmson
445;Marie-Louise Jakobsson
446;Thomas Thydén
447;Mats Landström
448;Mikael Berg
449;Martina Ladendorf
450;Magnus Knutsson
451;Mats Olsson
452;Roger Nyberg
453;Yngve Bergqvist
454;Sverker Johansson
455;Monika Jansson
456;Olivia Örtlund
457;Ulrika Rehnström
458;Pontus Sjöström
459;Nima Nosar Safara
460;Sara Saketi
461;Thomas Nygren
462;Pouyan Pirouznia
463;Per-Erik Eriksson
464;Thorbjörn Swenberg
465;Pia Eriksson
466;Tapio Raunio
