Id;Label;Color
0;HV;#00FF00
1;omvårdnad;#505050
2;omvårdnad;#505050
3;omvårdnad;#505050
4;omvårdnad;#505050
5;omvårdnad;#505050
6;HV;#00FF00
7;ISTUD;#0000FF
8;fysik;#505050
9;maskinteknik;#505050
10;medicinsk vetenskap;#505050
11;naturvetenskap;#505050
12;HV;#00FF00
13;HV;#00FF00
14;HV;#00FF00
15;omvårdnad;#505050
16;HV;#00FF00
17;HV;#00FF00
18;HV;#00FF00
19;HV;#00FF00
20;omvårdnad;#505050
21;HV;#00FF00
22;HV;#00FF00
23;omvårdnad;#505050
24;omvårdnad;#505050
25;omvårdnad;#505050
26;omvårdnad;#505050
27;omvårdnad;#505050
28;omvårdnad;#505050
29;omvårdnad;#505050
30;omvårdnad;#505050
31;omvårdnad;#505050
32;men;#505050
33;omvårdnad;#505050
34;omvårdnad;#505050
35;HV;#00FF00
36;omvårdnad;#505050
37;HV;#00FF00
38;HV;#00FF00
39;medicinsk vetenskap;#505050
40;medicinsk vetenskap;#505050
41;medicinsk vetenskap;#505050
42;medicinsk vetenskap;#505050
43;HV;#00FF00
44;srph;#505050
45;HV;#00FF00
46;omvårdnad;#505050
47;omvårdnad;#505050
48;omvårdnad;#505050
49;HV;#00FF00
50;HV;#00FF00
51;omvårdnad;#505050
52;statistik;#505050
53;HV;#00FF00
54;lgt;#505050
55;HV;#00FF00
56;medicinsk vetenskap;#505050
57;HV;#00FF00
58;HV;#00FF00
59;italienska;#505050
60;ISTUD;#0000FF
61;ISTUD;#0000FF
62;kemiteknik;#505050
63;ESBM;#FF0000
64;ESBM;#FF0000
65;ESBM;#FF0000
66;matematik;#505050
67;Stål;#FF00FF
68;energiteknik;#505050
69;ESBM;#FF0000
70;arbetsvetenskap;#505050
71;MD;#FFFF00
72;kgu;#505050
73;matematik;#505050
74;energiteknik;#505050
75;maskinteknik;#505050
76;maskinteknik;#505050
77;pedagogiskt arbete;#00FF00
78;svenska;#505050
79;svenska;#505050
80;pedagogiskt arbete;#0000FF
81;pedagogiskt arbete;#505050
82;UL;#00FFFF
83;UL;#00FFFF
84;pedagogiskt arbete;#505050
85;pedagogiskt arbete;#505050
86;UL;#00FFFF
87;filosofi;#0000FF
88;UL;#00FFFF
89;matematikdidaktik;#505050
90;matematikdidaktik;#FFFF00
91;svenska;#505050
92;svenska;#505050
93;svenska;#0000FF
94;svenska;#505050
95;litteraturvetenskap;#505050
96;bild;#505050
97;ISTUD;#0000FF
98;svenska som andraspråk;#0000FF
99;UL;#00FFFF
100;pedagogiskt arbete;#505050
101;engelska;#505050
102;engelska;#0000FF
103;matematikdidaktik;#505050
104;matematikdidaktik;#505050
105;matematikdidaktik;#505050
106;historia;#505050
107;UL;#00FFFF
108;naturvetenskap;#505050
109;naturvetenskap;#505050
110;naturvetenskap;#505050
111;UL;#00FFFF
112;UL;#00FFFF
